Title,Description_URL,Exercise_Image,Exercise_Image1,muscle_gp_details,equipment_details,equipment,muscle_group
Broad jump,https://www.bodybuilding.com/exercises/standing-long-jump,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Quadriceps
Bulgarian Split Squat,,,,,,,Null
Burpee,https://www.bodybuilding.com/exercises/burpee,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-38a-burpee-m4-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/quadriceps,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Quadriceps
Burpee over barbell,,,,,,,Quadriceps
Burpee to pull-up,,,,,,,Lats
Burpees,,,,,,,Null
Butt Kicks,,,,,,,Quadriceps
Butt-Ups,https://www.bodybuilding.com/exercises/butt-ups,,,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Abdominals
Butterfly,https://www.bodybuilding.com/exercises/butterfly,,,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/machine,Machine,Chest
Butterfly,https://www.bodybuilding.com/exercises/butterfly,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-53m-machine-chest-fly-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-53m-machine-chest-fly-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/machine,Machine,Chest
Butterfly Narrow Grip,,,,,,,Null
Butterfly Reverse,,,,,,,Null
Cable Chest Press,https://www.bodybuilding.com/exercises/cable-chest-press,https://www.bodybuilding.com/exercises/exerciseImages/sequences/870/Male/m/870_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/870/Male/m/870_2.jpg,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/cable,Cable,Chest
Cable Cross-over,,,,,,,Null
